"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COD",0.043764,-0.123709,0.207902,0.042673
"Cholera","COD",0.220657,0.147019,0.456625,0.195188
"HPV","COD",15.641004,11.609815,20.586399,15.520933
"HepB","COD",5.378967,4.348193,6.834115,5.323412
"Hib","COD",5.077531,2.607381,7.929224,5.04686
"Measles","COD",8.131958,6.907906,9.169613,8.173421
"Meningitis","COD",0.701069,0.451222,0.991714,0.694392
"PCV","COD",3.465749,0.176812,6.562175,3.442921
"Rota","COD",1.71878,-1.273451,5.075014,1.652626
"Rubella","COD",0.406528,-0.011018,1.226366,0.343154
"Typhoid","COD",1.727981,-0.013153,14.899459,0.374728
"YF","COD",1.946109,0.515767,4.453646,1.690029
