"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","COG",2.163363,0.175775,4.371251,2.078905
"COVID-19","routine","COG",4.037728,3.45041,4.491785,4.069077
"HPV","campaign","COG",562.460044,468.981281,667.561917,561.107499
"HPV","routine","COG",563.917394,471.136145,669.805032,561.597287
"HepB","routine","COG",172.620823,135.194193,218.022465,170.348675
"Hib","routine","COG",139.249141,80.714611,219.141123,136.037993
"Measles","campaign","COG",120.964279,69.93983,165.497845,121.920373
"Measles","routine","COG",1050.45298,884.002725,1240.377439,1049.020626
"PCV","routine","COG",109.316653,2.79307,222.054775,110.278963
"Rota","routine","COG",54.343379,8.526451,109.068854,53.163565
"Rubella","campaign","COG",18.1768,-21.716574,119.120948,-0.115037
"Rubella","routine","COG",21.332835,0.044568,40.062788,21.86676
"Typhoid","campaign","COG",20.585269,0.086116,138.553,7.175871
"Typhoid","routine","COG",53.473726,0.34693,306.509828,16.18521
"YF","campaign","COG",10.53342,2.130837,30.497403,8.298523
"YF","routine","COG",97.290905,23.35865,223.344133,87.113176
