"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","COG",0.057059,-0.015859,0.168506,0.044935
"COVID-19","routine","COG",0.015536,-0.011479,0.044162,0.015058
"HPV","campaign","COG",12.298565,10.259883,14.810222,12.259988
"HPV","routine","COG",11.977689,9.980715,14.420286,11.941002
"HepB","routine","COG",7.61809,5.834929,9.964439,7.45158
"Hib","routine","COG",2.111207,1.192331,3.361849,2.066547
"Measles","campaign","COG",1.794821,1.012298,2.482647,1.815349
"Measles","routine","COG",16.472388,13.863346,19.553452,16.433967
"PCV","routine","COG",1.64214,-0.052853,3.427382,1.661782
"Rota","routine","COG",0.944868,0.207007,1.816714,0.924767
"Rubella","campaign","COG",0.197509,-0.275082,1.413965,-0.00204
"Rubella","routine","COG",0.310078,0.001301,0.634909,0.309873
"Typhoid","campaign","COG",0.341855,-0.001908,2.537908,0.122494
"Typhoid","routine","COG",1.29433,0,8.09536,0.3377
"YF","campaign","COG",0.343353,0.062772,1.066317,0.257065
"YF","routine","COG",2.571069,0.620073,5.813805,2.311206
