"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COG",0.027584,0.005177,0.057903,0.024446
"HPV","COG",12.143547,10.118273,14.60542,12.09376
"HepB","COG",7.61809,5.834929,9.964439,7.45158
"Hib","COG",2.111207,1.192331,3.361849,2.066547
"Measles","COG",6.608968,5.419673,7.802836,6.602435
"PCV","COG",1.64214,-0.052853,3.427382,1.661782
"Rota","COG",0.944868,0.207007,1.816714,0.924767
"Rubella","COG",0.2312,-0.124102,1.154284,0.09835
"Typhoid","COG",0.563367,0,3.754033,0.198814
"YF","COG",0.898536,0.206664,2.238084,0.774247
