"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CPV",5.350202,2.116562,13.055833,4.295539
"COVID-19","routine","CPV",1.754919,0.775035,2.738909,1.865496
"HPV","campaign","CPV",7652.889718,5554.56649,9752.248981,7650.616748
"HPV","routine","CPV",1544.372111,1137.915291,1944.300489,1544.516951
"HepB","routine","CPV",194.282882,161.001472,234.368392,192.864594
"Hib","routine","CPV",60.672387,40.468225,85.577234,60.06656
"Measles","campaign","CPV",38.527775,10.510213,75.295017,36.205666
"Measles","routine","CPV",1088.880942,822.281266,1343.043222,1085.845613
"PCV","routine","CPV",43.604884,-111.782981,207.690047,53.67763
"Rota","routine","CPV",10.256548,-6.608318,31.328504,9.631019
"Rubella","campaign","CPV",7.648047,-15.480659,44.735008,5.288806
"Rubella","routine","CPV",17.930582,0.134409,41.257449,17.002186
"Typhoid","campaign","CPV",27.525809,3.040142,131.153865,16.844795
"Typhoid","routine","CPV",60.575727,2.469173,390.24298,21.472796
