"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CUB",21.563427,7.944527,45.704496,19.328025
"COVID-19","routine","CUB",1.573919,1.344357,1.727733,1.578142
"HPV","campaign","CUB",587.833194,460.573175,723.765199,594.291461
"HPV","routine","CUB",541.803081,418.476889,678.147533,545.706424
"HepB","routine","CUB",19.849576,16.02506,24.614966,19.590711
"Hib","routine","CUB",12.419392,8.455643,17.292035,12.302569
"Measles","campaign","CUB",6.977701,-0.116277,22.146236,5.960927
"Measles","routine","CUB",376.355895,271.082608,465.434739,379.353842
"PCV","routine","CUB",10.303409,-19.130839,33.921845,11.752854
"Rota","routine","CUB",1.6037,-2.150719,5.077453,1.572099
"Rubella","campaign","CUB",10.862949,0.350956,26.370029,10.373085
"Rubella","routine","CUB",12.920426,0.870731,31.1762,10.021055
