"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","DJI",1.619851,-0.107624,3.189331,1.521166
"COVID-19","routine","DJI",3.411143,2.86426,4.02631,3.437855
"HPV","campaign","DJI",796.129477,676.668573,913.849428,796.478303
"HPV","routine","DJI",758.875363,645.92322,874.847954,759.938923
"HepB","routine","DJI",96.434661,74.960196,124.114926,95.112132
"Hib","routine","DJI",156.209834,100.313447,239.59665,150.157756
"Measles","campaign","DJI",99.492291,60.424944,154.102497,95.730356
"Measles","routine","DJI",2167.80548,1733.628959,2578.842122,2159.745942
"PCV","routine","DJI",109.182762,-12.594007,230.100527,105.178121
"Rota","routine","DJI",44.381906,4.925787,79.094889,46.339323
"Rubella","campaign","DJI",-19.279056,-74.833681,25.840111,-14.881143
"Rubella","routine","DJI",59.451708,9.096325,115.728313,59.364479
"Typhoid","campaign","DJI",14.854392,1.838326,72.399424,7.477456
"Typhoid","routine","DJI",41.907956,-0.308865,271.89286,12.332732
