"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","DJI",0.035965,0.00525,0.095811,0.023625
"COVID-19","routine","DJI",0,0,0,0
"HPV","campaign","DJI",14.618334,11.874864,17.946681,14.476878
"HPV","routine","DJI",13.867007,11.203325,17.063792,13.757534
"HepB","routine","DJI",3.867093,2.976267,5.109697,3.7937
"Hib","routine","DJI",2.279631,1.426356,3.540774,2.197306
"Measles","campaign","DJI",1.450321,0.815666,2.325341,1.388341
"Measles","routine","DJI",34.152462,27.479706,40.763201,33.888966
"PCV","routine","DJI",1.54866,-0.333432,3.415273,1.479767
"Rota","routine","DJI",0.749734,0.118772,1.285195,0.775466
"Rubella","campaign","DJI",-0.383067,-1.526767,0.444101,-0.277322
"Rubella","routine","DJI",0.766994,0.081518,1.644239,0.720192
"Typhoid","campaign","DJI",0.357239,0.051221,1.50297,0.240339
"Typhoid","routine","DJI",0.746985,0.017963,7.121508,0.161776
