"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ECU",15.558421,4.026067,35.518374,12.888525
"COVID-19","routine","ECU",0.135682,-1.936966,2.05725,0.195069
"HPV","campaign","ECU",531.3921,429.77722,649.967855,529.826645
"HPV","routine","ECU",484.199577,392.809561,595.750386,482.505414
"HepB","routine","ECU",31.727409,23.831747,48.935065,29.674727
"Hib","routine","ECU",57.624179,42.203676,74.614946,57.453128
"Measles","campaign","ECU",16.734992,3.195631,35.176312,16.289018
"Measles","routine","ECU",489.907654,367.202532,594.179094,491.077181
"PCV","routine","ECU",54.056584,23.398746,88.902513,52.700635
"Rota","routine","ECU",12.368366,6.755711,19.862906,11.951828
"Rubella","campaign","ECU",11.223331,-0.670949,41.252683,8.131277
"Rubella","routine","ECU",7.090969,1.696368,16.730307,6.214391
"YF","routine","ECU",36.955259,9.725255,107.608914,29.4123
