"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","EGY",0.126408,0.027804,0.234774,0.122637
"COVID-19","routine","EGY",0.020217,-0.004484,0.037838,0.023173
"HPV","campaign","EGY",4.30016,3.376834,5.180624,4.292374
"HPV","routine","EGY",4.81345,3.684275,5.982034,4.817013
"HepB","routine","EGY",4.882459,4.069004,5.743579,4.867632
"Hib","routine","EGY",0.738643,0.350538,1.175208,0.724636
"Measles","campaign","EGY",0.041647,0.00273,0.145705,0.027986
"Measles","routine","EGY",3.666885,2.69974,4.557191,3.663752
"PCV","routine","EGY",0.453181,-0.944288,1.602913,0.481054
"Rota","routine","EGY",0.734921,-0.590214,1.818128,0.78119
"Rubella","campaign","EGY",-0.005915,-0.079035,0.057948,-0.004511
"Rubella","routine","EGY",0.219698,0.085661,0.405087,0.211843
