"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"HPV","campaign","ERI",386.20529,316.842395,472.164567,383.355922
"HPV","routine","ERI",445.171486,367.534175,541.108251,440.728757
"HepB","routine","ERI",147.848122,118.901052,180.159571,146.736163
"Hib","routine","ERI",203.338491,135.425198,284.534054,198.773938
"Measles","campaign","ERI",54.469835,22.36009,104.755255,49.714707
"Measles","routine","ERI",1220.061264,976.220794,1449.543551,1216.248046
"MenA","campaign","ERI",27.011679,6.789123,38.168279,27.594499
"MenA","routine","ERI",17.462075,8.28511,25.916703,17.896669
"MenACWYX","campaign","ERI",81.985246,35.291543,130.762364,82.1319
"MenACWYX","routine","ERI",35.959196,19.828066,52.757687,35.341361
"PCV","routine","ERI",149.582845,-26.085245,324.3854,156.831454
"Rota","routine","ERI",67.041354,29.613527,100.13183,66.696172
"Rubella","campaign","ERI",14.419524,-4.207295,70.434765,4.32091
"Rubella","routine","ERI",25.030745,5.261434,43.103637,25.249187
"Typhoid","campaign","ERI",35.517416,4.331315,261.788402,16.73215
"Typhoid","routine","ERI",67.634497,3.43008,585.834671,22.565474
"YF","routine","ERI",76.779934,18.654569,176.202144,69.165235
