"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","ETH",2.12546,0.351855,4.903228,1.953075
"HPV","ETH",280.9931,245.563202,318.070143,280.327479
"HepB","ETH",242.977658,196.626884,299.887014,239.259495
"Hib","ETH",324.118042,215.143712,476.195315,316.516518
"Measles","ETH",594.982801,497.253982,671.554733,599.322488
"Meningitis","ETH",47.453657,29.691237,62.008097,46.944325
"PCV","ETH",203.277684,66.964263,355.982281,201.091056
"Rota","ETH",47.764183,-11.355556,108.493852,44.373721
"Rubella","ETH",36.34227,3.146883,86.490993,33.993975
"Typhoid","ETH",54.735546,3.402745,274.837334,19.935729
"YF","ETH",10.130386,2.722088,22.965866,9.018867
