"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","ETH",0.034029,-0.039987,0.130896,0.032722
"HPV","ETH",9.475168,8.090876,10.911144,9.446818
"HepB","ETH",10.080784,8.035571,12.757303,9.903031
"Hib","ETH",4.691791,3.047385,6.973937,4.586653
"Measles","ETH",9.033574,7.542498,10.215549,9.082745
"Meningitis","ETH",0.681697,0.432963,0.88222,0.674459
"PCV","ETH",2.915362,0.81235,5.257997,2.883864
"Rota","ETH",0.774559,-0.151454,1.73295,0.722858
"Rubella","ETH",0.420442,0.05017,1.12823,0.349147
"Typhoid","ETH",1.120843,0.047115,5.341975,0.598372
"YF","ETH",0.271263,0.072599,0.624121,0.242347
