"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","FJI",4.870689,1.634431,10.843678,4.359459
"COVID-19","routine","FJI",0.232755,-0.825408,1.011601,0.193524
"HPV","routine","FJI",554.318677,386.584039,814.961049,534.736415
"HepB","routine","FJI",112.82445,90.00445,135.851949,112.447998
"Hib","routine","FJI",103.469924,79.03744,135.781837,101.885033
"Measles","campaign","FJI",9.875048,0.55769,23.017549,9.109295
"Measles","routine","FJI",290.448732,226.066218,355.98236,289.282923
"PCV","routine","FJI",62.14981,18.496913,113.440636,61.074335
"Rota","routine","FJI",17.732828,7.867537,30.591607,17.541553
"Rubella","campaign","FJI",50.369132,30.100147,71.017062,50.210069
"Rubella","routine","FJI",17.629136,11.413272,22.969769,17.933475
"Typhoid","campaign","FJI",4.666049,0.691661,20.78396,3.041129
"Typhoid","routine","FJI",4.375266,0.270501,17.773397,2.512526
