"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","FJI",0.192858,0.084287,0.395048,0.178835
"COVID-19","routine","FJI",0,0,0,0
"HPV","routine","FJI",17.965492,10.368013,30.295818,17.008427
"HepB","routine","FJI",4.509894,3.517522,5.542521,4.500655
"Hib","routine","FJI",1.070603,0.817883,1.404708,1.057504
"Measles","campaign","FJI",-0.041366,-0.18959,0.166557,-0.054744
"Measles","routine","FJI",4.274048,3.353414,5.213849,4.256817
"PCV","routine","FJI",0.847902,0.207381,1.59788,0.829024
"Rota","routine","FJI",0.275527,0.1267,0.467084,0.273066
"Rubella","campaign","FJI",0.665335,0.164576,1.211874,0.651504
"Rubella","routine","FJI",0.253507,0.097839,0.423979,0.249451
"Typhoid","campaign","FJI",0.10992,0.020666,0.368887,0.081391
"Typhoid","routine","FJI",0.084037,0.003729,0.265465,0.057362
