"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","FSM",-0.18036,-1.337381,0.7319,-0.186302
"COVID-19","routine","FSM",2.872968,1.041839,4.21945,2.839012
"HPV","campaign","FSM",644.652242,529.59365,763.491359,642.007538
"HPV","routine","FSM",480.845273,396.568662,574.021137,478.428324
"HepB","routine","FSM",150.003397,116.881308,191.27185,148.802711
"Hib","routine","FSM",148.586996,103.787808,206.714568,144.815886
"Measles","campaign","FSM",21.578357,9.099997,30.105365,22.42649
"Measles","routine","FSM",393.032431,327.845824,445.937157,395.466618
"PCV","routine","FSM",117.224978,38.385848,203.33457,113.890426
"Rota","routine","FSM",52.07198,4.705551,93.69509,53.61341
"Rubella","campaign","FSM",15.777835,-3.378979,34.845763,15.364947
"Rubella","routine","FSM",9.47987,0,21.924701,9.165193
"Typhoid","campaign","FSM",2.638042,0.152496,15.80506,1.297535
"Typhoid","routine","FSM",6.194335,0.036929,45.960125,0.460196
