"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GEO",10.749263,5.641167,16.682441,10.478351
"COVID-19","routine","GEO",1.487826,0.341002,2.29218,1.530577
"HPV","campaign","GEO",1441.015018,1266.733594,1630.233789,1447.30548
"HPV","routine","GEO",605.586353,535.70209,671.395092,607.152277
"HepB","routine","GEO",96.057022,77.426305,121.596228,94.661288
"Hib","routine","GEO",28.826567,19.941135,40.374192,28.483256
"Measles","campaign","GEO",4.240509,-1.661699,11.023433,4.306703
"Measles","routine","GEO",202.897309,156.753749,245.191141,202.833773
"PCV","routine","GEO",20.044593,14.390585,26.664755,19.894928
"Rota","routine","GEO",4.080031,2.394305,6.222763,4.011255
"Rubella","campaign","GEO",3.363399,-16.463043,23.704887,2.847772
"Rubella","routine","GEO",17.909821,0.615649,38.048274,17.514605
"Typhoid","campaign","GEO",0.141026,0.003658,1.019805,0.043925
"Typhoid","routine","GEO",0.684716,0.005092,6.731299,0.0657
