"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GHA",0.05597,0.006931,0.119909,0.057122
"HPV","GHA",13.596645,10.862838,16.729862,13.50389
"HepB","GHA",6.140511,4.804817,9.328904,5.892012
"Hib","GHA",1.558953,1.118787,2.124406,1.532223
"Measles","GHA",6.591439,5.050739,7.89398,6.638996
"Meningitis","GHA",0.577049,0.39352,0.777851,0.574062
"PCV","GHA",0.960312,0.032482,1.833224,0.971439
"Rota","GHA",0.655828,0.146408,1.134161,0.668768
"Rubella","GHA",0.318534,0.072608,0.75672,0.279322
"Typhoid","GHA",0.858843,0.190003,2.292505,0.70245
"YF","GHA",5.436526,1.366083,13.107404,4.799971
