"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GIN",3.942305,0.98656,8.85301,3.370313
"COVID-19","routine","GIN",0.76283,-2.779422,4.263835,0.676957
"HPV","campaign","GIN",794.33588,632.367927,963.856462,797.471131
"HPV","routine","GIN",895.639598,719.276287,1081.95048,893.723708
"HepB","routine","GIN",221.810875,157.278776,327.476844,213.431681
"Hib","routine","GIN",279.36178,61.77414,511.788691,282.497564
"Measles","campaign","GIN",285.541563,202.466532,332.575211,289.153485
"Measles","routine","GIN",2238.369303,1908.79203,2589.346324,2252.316566
"MenA","campaign","GIN",30.394152,21.471057,42.425313,29.745581
"MenA","routine","GIN",16.288627,4.866086,25.936722,16.495323
"MenACWYX","campaign","GIN",67.526289,28.362549,108.085884,68.023068
"MenACWYX","routine","GIN",30.2382,15.434832,46.036598,30.927294
"PCV","routine","GIN",192.305032,-1322.35927,1742.172966,231.828357
"Rota","routine","GIN",93.866126,-412.138489,559.784024,100.540901
"Rubella","campaign","GIN",9.225368,-8.057714,80.47255,0.108297
"Rubella","routine","GIN",49.569032,3.640722,105.928278,48.030299
"YF","campaign","GIN",66.159495,18.862922,149.372648,60.721597
"YF","routine","GIN",525.687388,132.841864,1240.812739,463.12402
