"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GIN",0.097065,0.00705,0.215837,0.091758
"COVID-19","routine","GIN",0.01313,-0.132914,0.128685,0.019635
"HPV","campaign","GIN",21.045006,17.72715,24.547274,21.011679
"HPV","routine","GIN",22.764745,19.275152,26.527669,22.71086
"HepB","routine","GIN",9.502722,6.71033,14.869041,9.082375
"Hib","routine","GIN",4.373632,0.793446,8.187909,4.442733
"Measles","campaign","GIN",4.626006,3.262021,5.400656,4.680831
"Measles","routine","GIN",36.527766,30.956696,42.600848,36.696611
"MenA","campaign","GIN",0.467347,0.333651,0.64635,0.460667
"MenA","routine","GIN",0.310312,0.087865,0.492044,0.326531
"MenACWYX","campaign","GIN",0.96845,0.402085,1.542547,0.973524
"MenACWYX","routine","GIN",0.507902,0.245207,0.792537,0.522948
"PCV","routine","GIN",2.925465,-21.758841,28.196303,3.395707
"Rota","routine","GIN",2.064137,-6.190395,9.714999,2.209115
"Rubella","campaign","GIN",0.109339,-0.118723,1.138424,-0.011518
"Rubella","routine","GIN",0.65924,0.034928,1.47922,0.62674
"YF","campaign","GIN",1.665355,0.495002,3.764343,1.525561
"YF","routine","GIN",13.726503,3.474939,32.569741,12.154761
