"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GMB",2.492153,-0.104878,4.198382,2.464641
"HPV","GMB",445.210441,341.241349,578.15969,439.742171
"HepB","GMB",189.674589,138.506276,265.999015,184.796925
"Hib","GMB",173.94369,126.205637,233.095382,173.720246
"Measles","GMB",893.426958,676.73345,1072.43437,900.904698
"Meningitis","GMB",45.606863,28.462785,61.956788,45.332902
"PCV","GMB",133.987033,50.105857,216.186405,134.473799
"Rota","GMB",36.445098,-12.071608,83.274401,37.262886
"Rubella","GMB",15.478412,-0.508225,48.810494,11.768375
"Typhoid","GMB",29.125856,5.29143,102.275519,20.290086
"YF","GMB",117.878719,28.832428,359.347225,101.556501
