"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GMB",0.072422,-0.07586,0.213846,0.065396
"COVID-19","routine","GMB",-0.01923,-0.289258,0.196567,0.003196
"HPV","campaign","GMB",17.721935,12.934612,23.717149,17.47922
"HPV","routine","GMB",22.784734,16.37015,30.946908,22.394465
"HepB","routine","GMB",7.128615,5.095545,10.380136,6.879296
"Hib","routine","GMB",2.717872,1.969124,3.643453,2.712206
"Measles","campaign","GMB",1.425956,0.345629,2.746791,1.368289
"Measles","routine","GMB",26.052659,20.307816,31.523628,26.010237
"MenA","campaign","GMB",0.682848,0.433768,0.923793,0.696288
"MenA","routine","GMB",0.455154,0.213787,0.747517,0.455558
"MenACWYX","campaign","GMB",0.72195,0.209253,1.229557,0.712475
"MenACWYX","routine","GMB",0.699176,0.365352,0.977907,0.722342
"PCV","routine","GMB",2.055148,0.734743,3.350506,2.056203
"Rota","routine","GMB",0.585883,-0.184012,1.330991,0.599119
"Rubella","campaign","GMB",0.117436,-0.098032,1.011983,-0.001221
"Rubella","routine","GMB",0.227959,-0.01012,0.544985,0.210866
"Typhoid","campaign","GMB",0.730078,0.163474,2.002058,0.626003
"Typhoid","routine","GMB",0.999765,0.072435,3.763103,0.584745
"YF","routine","GMB",2.951045,0.728048,8.986596,2.54812
