"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GMB",0.045808,-0.063113,0.163814,0.051975
"HPV","GMB",21.830859,15.742746,29.604677,21.472895
"HepB","GMB",7.128615,5.095545,10.380136,6.879296
"Hib","GMB",2.717872,1.969124,3.643453,2.712206
"Measles","GMB",14.079262,10.61281,16.990997,14.180382
"Meningitis","GMB",0.674552,0.418283,0.911897,0.670685
"PCV","GMB",2.055148,0.734743,3.350506,2.056203
"Rota","GMB",0.585883,-0.184012,1.330991,0.599119
"Rubella","GMB",0.165452,-0.008623,0.649249,0.10651
"Typhoid","GMB",0.810274,0.143569,2.398861,0.647392
"YF","GMB",2.951045,0.728048,8.986596,2.54812
