"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GNB",3.082508,1.050251,5.568546,3.188281
"HPV","GNB",758.85637,593.125001,1028.173568,744.902317
"HepB","GNB",171.630391,129.068034,246.11066,166.546939
"Hib","GNB",209.753482,126.267694,338.76726,203.609355
"Measles","GNB",877.377261,691.960465,1033.36303,880.775307
"Meningitis","GNB",41.900222,28.677867,54.096735,41.525073
"PCV","GNB",147.295496,-13.082109,303.521754,139.719139
"Rota","GNB",68.829628,1.097733,151.355027,66.399872
"Rubella","GNB",18.359296,-36.086599,82.643108,15.685015
"Typhoid","GNB",26.266288,3.243115,117.135866,18.31466
"YF","GNB",76.793635,21.87726,172.229462,69.28087
