"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","GNB",0.068023,-0.034118,0.171725,0.061412
"HPV","GNB",20.242852,12.69846,33.773275,19.224791
"HepB","GNB",7.009843,5.281423,10.081872,6.826957
"Hib","GNB",3.411222,1.994353,5.61411,3.310108
"Measles","GNB",14.427283,11.282275,17.124102,14.458794
"Meningitis","GNB",0.6114,0.411195,0.80694,0.608813
"PCV","GNB",2.370928,-0.381634,5.019964,2.235647
"Rota","GNB",1.336862,0.158937,2.767726,1.294255
"Rubella","GNB",0.157219,-0.732021,1.192286,0.158361
"Typhoid","GNB",0.807629,0.058488,2.857789,0.597757
"YF","GNB",2.063275,0.57278,4.652596,1.855201
