"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GTM",17.46952,9.557009,29.927559,17.126217
"COVID-19","routine","GTM",0.657585,-3.283633,5.337299,0.316764
"HPV","campaign","GTM",940.526186,746.081516,1137.705726,937.279267
"HPV","routine","GTM",553.295861,481.017361,632.171964,552.800047
"HepB","routine","GTM",53.58913,43.892722,64.639182,53.316841
"Hib","routine","GTM",100.318266,72.447238,132.609142,99.280708
"Measles","campaign","GTM",30.322696,5.527011,59.892688,27.745732
"Measles","routine","GTM",1027.051981,803.339707,1237.686138,1026.542148
"PCV","routine","GTM",73.583838,19.670956,132.141209,75.217414
"Rota","routine","GTM",32.949666,16.610341,53.180904,32.253208
"Rubella","campaign","GTM",15.330475,-0.820692,58.208657,11.143101
"Rubella","routine","GTM",6.341801,1.153099,11.85122,6.181332
"Typhoid","campaign","GTM",6.017455,0.755597,29.150798,3.554407
"Typhoid","routine","GTM",22.88833,0.413239,180.236544,6.222027
