"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GTM",0.453548,0.209991,0.782771,0.449574
"COVID-19","routine","GTM",0.023159,-0.172324,0.250678,0.035692
"HPV","campaign","GTM",17.608037,14.750513,20.418738,17.584746
"HPV","routine","GTM",12.302936,11.043627,13.619675,12.285746
"HepB","routine","GTM",1.763827,1.433822,2.144581,1.755304
"Hib","routine","GTM",1.31792,0.937288,1.754367,1.30369
"Measles","campaign","GTM",0.41652,0.06347,0.82553,0.389765
"Measles","routine","GTM",14.221797,11.18719,17.06484,14.1773
"PCV","routine","GTM",0.950619,0.215636,1.745407,0.969841
"Rota","routine","GTM",0.500335,0.278172,0.779733,0.490566
"Rubella","campaign","GTM",0.203728,-0.016045,0.803386,0.133595
"Rubella","routine","GTM",0.112173,0.018216,0.229492,0.106611
"Typhoid","campaign","GTM",0.199385,0.023044,0.758863,0.133586
"Typhoid","routine","GTM",0.475275,-0.495606,3.875954,0.148493
