"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","GUY",0.232028,0.103993,0.544727,0.217891
"COVID-19","routine","GUY",0,0,0,0
"HPV","routine","GUY",10.205414,8.456395,12.311007,10.081412
"HepB","routine","GUY",0.747428,0.366625,1.239883,0.733794
"Hib","routine","GUY",0.651429,0.483372,0.87337,0.641738
"Measles","campaign","GUY",-4.399282,-6.572389,-1.885684,-4.417313
"Measles","routine","GUY",3.120451,2.332,3.771468,3.132533
"PCV","routine","GUY",0.53153,0.276206,0.878325,0.506377
"Rota","routine","GUY",0.302896,0.143911,0.490318,0.300364
"Rubella","campaign","GUY",0.752068,-6.464313,15.624695,0.261561
"Rubella","routine","GUY",0.195436,0.015852,0.526468,0.163277
"Typhoid","campaign","GUY",0.14063,0.006414,0.580594,0.088948
"Typhoid","routine","GUY",0.162801,0.003973,1.456707,0.054028
