"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","HND",3.167712,1.460244,5.389521,3.061223
"COVID-19","routine","HND",0.567063,-0.324433,1.420051,0.613858
"HPV","routine","HND",1301.554402,961.945035,1618.427068,1306.481107
"HepB","routine","HND",28.887199,21.29697,41.430987,28.225437
"Hib","routine","HND",62.329506,45.650673,83.653447,60.903768
"Measles","campaign","HND",50.068977,5.74019,92.814948,52.400771
"Measles","routine","HND",906.767469,720.256821,1098.794942,901.725504
"PCV","routine","HND",52.885299,18.891062,89.049965,52.546912
"Rota","routine","HND",21.573378,11.660094,31.68324,22.135994
"Rubella","campaign","HND",21.110983,-1.57767,75.799802,17.533456
"Rubella","routine","HND",5.05669,0.760407,10.41104,4.633739
"Typhoid","campaign","HND",3.901241,0.413864,16.46345,2.618666
"Typhoid","routine","HND",7.950043,0.405674,62.966986,3.480601
