"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","HND",0.081225,0.00906,0.154478,0.087143
"COVID-19","routine","HND",0.006526,-0.037926,0.051794,0.004929
"HPV","routine","HND",21.999465,17.309307,26.478812,21.943654
"HepB","routine","HND",1.069114,0.768732,1.572862,1.039815
"Hib","routine","HND",0.823369,0.60094,1.106591,0.804049
"Measles","campaign","HND",0.701757,0.067693,1.282756,0.73538
"Measles","routine","HND",12.599501,10.118267,15.159773,12.517977
"PCV","routine","HND",0.684036,0.226791,1.167979,0.677604
"Rota","routine","HND",0.298344,0.163964,0.434847,0.305688
"Rubella","campaign","HND",0.231983,-0.022663,0.7897,0.167749
"Rubella","routine","HND",0.08167,0.009186,0.163775,0.078696
"Typhoid","campaign","HND",0.127665,0.008903,0.452383,0.090373
"Typhoid","routine","HND",0.202684,0.005333,1.600283,0.07881
