"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","HTI",0.834507,-2.529746,4.260007,1.05338
"COVID-19","routine","HTI",0.286453,-0.201658,0.763312,0.260944
"Cholera","campaign","HTI",5.77973,1.821228,43.626714,2.201396
"HPV","campaign","HTI",508.892015,392.857109,628.462842,506.011254
"HPV","routine","HTI",486.393079,370.862755,597.106514,483.396013
"HepB","routine","HTI",57.79362,46.099535,70.476877,57.56205
"Hib","routine","HTI",267.836822,70.078813,465.366065,267.416845
"Measles","campaign","HTI",58.5278,27.923707,111.835316,49.943375
"Measles","routine","HTI",1400.179121,1089.168125,1696.863289,1403.439243
"PCV","routine","HTI",223.448203,-136.078913,541.47821,226.236783
"Rota","routine","HTI",84.027917,-4.024339,168.366606,85.969307
"Rubella","campaign","HTI",-2.278413,-10.536854,5.663629,-1.345874
"Rubella","routine","HTI",8.031485,0.722144,13.829264,8.211719
"Typhoid","campaign","HTI",7.972103,0.754053,23.603881,6.450961
"Typhoid","routine","HTI",16.838732,1.369487,71.928691,10.020256
