"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","HTI",0.354619,-0.082855,0.760504,0.3725
"Cholera","HTI",9.288719,2.926932,70.113364,3.537908
"HPV","HTI",498.624796,383.990283,614.122642,496.09133
"HepB","HTI",57.79362,46.099535,70.476877,57.56205
"Hib","HTI",267.836822,70.078813,465.366065,267.416845
"Measles","HTI",456.559881,352.182496,551.782021,458.31594
"PCV","HTI",223.448203,-136.078913,541.47821,226.236783
"Rota","HTI",84.027917,-4.024339,168.366606,85.969307
"Rubella","HTI",0.222134,-5.925352,6.05786,0.494512
"Typhoid","HTI",8.805891,0.831002,27.058779,6.938754
