"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","HTI",0.033171,-0.187994,0.237547,0.040357
"COVID-19","routine","HTI",0.000882,-0.022423,0.024382,0.000871
"Cholera","campaign","HTI",0.27447,0.043504,2.560913,0.052574
"HPV","campaign","HTI",10.840436,8.969451,12.591101,10.788177
"HPV","routine","HTI",9.651993,7.896568,11.337909,9.607387
"HepB","routine","HTI",2.714503,2.136275,3.345873,2.697339
"Hib","routine","HTI",3.98925,0.860973,7.089346,3.990665
"Measles","campaign","HTI",0.914002,0.403158,1.795579,0.771464
"Measles","routine","HTI",22.422478,17.351226,27.232666,22.429904
"PCV","routine","HTI",3.300804,-2.375614,8.312992,3.340202
"Rota","routine","HTI",1.316365,-0.064139,2.653007,1.343175
"Rubella","campaign","HTI",-0.016399,-0.147505,0.101911,-0.010356
"Rubella","routine","HTI",0.124903,0.011651,0.232929,0.124309
"Typhoid","campaign","HTI",0.313734,0.017043,0.998249,0.255572
"Typhoid","routine","HTI",0.56923,0.018274,2.389822,0.351148
