"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","IDN",6.580577,2.750114,12.220676,5.204403
"COVID-19","routine","IDN",0.938228,-0.004654,1.693377,0.992556
"HPV","routine","IDN",557.963988,479.681162,646.143687,558.063201
"HepB","routine","IDN",144.905803,117.462959,174.008661,145.383167
"Hib","routine","IDN",88.347884,21.696817,149.285862,86.537288
"JE","routine","IDN",111.025349,75.617893,146.343166,110.415817
"Measles","campaign","IDN",28.21675,13.911997,44.697435,27.280762
"Measles","routine","IDN",522.363973,412.419775,632.228581,520.969733
"PCV","routine","IDN",53.089966,-104.830514,221.203367,49.803025
"Rota","routine","IDN",41.317089,-96.060001,158.282078,52.469748
"Rubella","campaign","IDN",3.764385,1.009357,8.496916,3.327446
"Rubella","routine","IDN",16.180446,11.694665,20.049722,16.184943
"Typhoid","campaign","IDN",1.723685,0.573924,4.268694,1.527855
"Typhoid","routine","IDN",2.624614,-0.300579,9.073683,2.142843
