"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","IDN",4.410751,2.199829,7.681648,3.741772
"HPV","IDN",557.963988,479.681162,646.143687,558.063201
"HepB","IDN",144.905803,117.462959,174.008661,145.383167
"Hib","IDN",88.347884,21.696817,149.285862,86.537288
"JE","IDN",111.025349,75.617893,146.343166,110.415817
"Measles","IDN",279.068982,216.605993,338.56314,278.535731
"PCV","IDN",53.089966,-104.830514,221.203367,49.803025
"Rota","IDN",41.317089,-96.060001,158.282078,52.469748
"Rubella","IDN",8.05609,5.260496,11.248955,8.010245
"Typhoid","IDN",1.855558,0.572554,4.362962,1.663313
