"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","IDN",0.154776,0.074877,0.253248,0.140478
"HPV","IDN",14.814968,13.413196,16.250884,14.845723
"HepB","IDN",5.541357,4.522196,6.659659,5.539397
"Hib","IDN",1.184829,0.235885,2.039975,1.160476
"JE","IDN",0.137906,0.074506,0.253773,0.128235
"Measles","IDN",3.96882,3.098879,4.804837,3.959286
"PCV","IDN",0.70492,-1.510361,3.084757,0.654361
"Rota","IDN",0.612718,-1.335322,2.270415,0.772473
"Rubella","IDN",0.132967,0.064635,0.206575,0.131984
"Typhoid","IDN",0.062398,0.018133,0.169876,0.055231
