"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","IND",14.074417,4.581787,33.068619,11.393043
"COVID-19","routine","IND",0.002839,-4.335854,4.863289,0.109438
"HPV","campaign","IND",513.40136,441.921091,580.83621,511.882072
"HPV","routine","IND",482.921019,414.548101,546.025309,479.793199
"HepB","routine","IND",110.545023,88.84915,136.995316,109.750991
"Hib","routine","IND",116.948452,21.762609,221.892729,109.667562
"JE","campaign","IND",2.384778,0.672291,6.39431,1.983
"JE","routine","IND",97.607114,66.785313,130.95406,96.29032
"Measles","campaign","IND",49.940961,27.993946,71.124904,49.436916
"Measles","routine","IND",747.370114,623.953606,858.767929,747.566073
"PCV","routine","IND",69.19225,-138.02271,254.014425,69.972574
"Rota","routine","IND",26.984313,-29.91646,78.61728,27.206866
"Rubella","campaign","IND",16.505704,2.390502,40.733912,15.854949
"Rubella","routine","IND",30.431354,7.345857,48.295077,31.769783
"Typhoid","campaign","IND",4.212049,0.988878,10.586232,3.558974
"Typhoid","routine","IND",9.043653,0.280083,35.712161,5.972185
