"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","IND",11.392599,3.286151,26.030108,9.386753
"HPV","IND",499.59388,430.068627,564.440739,497.345149
"HepB","IND",110.545023,88.84915,136.995316,109.750991
"Hib","IND",116.948452,21.762609,221.892729,109.667562
"JE","IND",60.882273,41.508839,82.419008,60.409441
"Measles","IND",498.587799,416.267081,570.126575,499.792678
"PCV","IND",69.19225,-138.02271,254.014425,69.972574
"Rota","IND",26.984313,-29.91646,78.61728,27.206866
"Rubella","IND",23.001397,4.775804,45.635355,23.37487
"Typhoid","IND",5.243162,0.976755,15.069071,4.170415
