"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","IND",0.47365,0.100352,1.024628,0.415232
"COVID-19","routine","IND",-0.009837,-0.272764,0.190577,-0.004982
"HPV","campaign","IND",11.377942,10.362663,12.344368,11.344557
"HPV","routine","IND",10.222976,9.289758,11.123826,10.198266
"HepB","routine","IND",3.358159,2.669843,4.247709,3.325288
"Hib","routine","IND",1.597693,0.21613,3.105909,1.495993
"JE","campaign","IND",0.027632,0.005501,0.084524,0.02268
"JE","routine","IND",0.287606,0.15164,0.471929,0.275838
"Measles","campaign","IND",0.404393,0.188583,0.591638,0.415992
"Measles","routine","IND",10.399888,8.692256,12.018978,10.383588
"PCV","routine","IND",0.926067,-2.082577,3.603796,0.94731
"Rota","routine","IND",0.381032,-0.447578,1.135075,0.385083
"Rubella","campaign","IND",0.19978,0.042218,0.466034,0.178536
"Rubella","routine","IND",0.411932,0.14397,0.703355,0.397816
"Typhoid","campaign","IND",0.119962,0.026033,0.30275,0.104812
"Typhoid","routine","IND",0.193288,-0.030315,0.767608,0.13385
