"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","IND",0.381505,0.069547,0.798121,0.333352
"HPV","IND",10.854747,9.851853,11.761064,10.825683
"HepB","IND",3.358159,2.669843,4.247709,3.325288
"Hib","IND",1.597693,0.21613,3.105909,1.495993
"JE","IND",0.187341,0.09726,0.312361,0.181209
"Measles","IND",6.834361,5.698775,7.870882,6.835309
"PCV","IND",0.926067,-2.082577,3.603796,0.94731
"Rota","IND",0.381032,-0.447578,1.135075,0.385083
"Rubella","IND",0.298739,0.09094,0.555613,0.280618
"Typhoid","IND",0.13561,0.027252,0.350182,0.113389
