"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","IRN",2.927606,0.992407,6.091831,2.715954
"COVID-19","routine","IRN",1.037033,0.21671,1.824588,0.994511
"HPV","campaign","IRN",381.302313,338.557091,427.606784,381.372847
"HPV","routine","IRN",333.235232,295.85567,372.839789,333.453663
"HepB","routine","IRN",59.269657,48.578021,76.024552,58.259869
"Hib","routine","IRN",64.248838,39.48247,89.661915,64.901923
"Measles","campaign","IRN",3.370554,-0.530398,8.20333,3.304626
"Measles","routine","IRN",520.680703,380.460685,652.558174,519.565498
"PCV","routine","IRN",52.045044,-31.451293,127.777844,53.826862
"Rota","routine","IRN",14.412161,-14.448351,47.536209,12.788684
"Rubella","campaign","IRN",8.664748,6.231619,11.809066,8.545302
"Rubella","routine","IRN",12.371387,8.757046,16.496448,12.2671
