"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","IRN",0.083521,-0.002342,0.183211,0.087741
"COVID-19","routine","IRN",0.026754,-0.007191,0.063919,0.026394
"HPV","campaign","IRN",5.946916,5.35343,6.586739,5.932219
"HPV","routine","IRN",5.189746,4.655251,5.760689,5.179845
"HepB","routine","IRN",1.790605,1.422599,2.440569,1.734383
"Hib","routine","IRN",0.794353,0.46839,1.129103,0.802611
"Measles","campaign","IRN",0.038917,-0.017275,0.112387,0.037119
"Measles","routine","IRN",6.980503,5.135171,8.730727,6.957219
"PCV","routine","IRN",0.643748,-0.452005,1.639877,0.665047
"Rota","routine","IRN",0.180666,-0.207113,0.618823,0.15748
"Rubella","campaign","IRN",0.104211,0.049613,0.177697,0.101107
"Rubella","routine","IRN",0.164649,0.084509,0.262719,0.160363
