"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","JAM",0.590607,0.212491,1.085317,0.576953
"COVID-19","routine","JAM",0.099105,-2.768787,2.263374,0.329618
"HPV","campaign","JAM",9.313911,8.074102,10.552108,9.302164
"HPV","routine","JAM",9.941593,8.535578,11.396687,9.978938
"HepB","routine","JAM",0.235272,0.159536,0.35346,0.226156
"Hib","routine","JAM",0.121058,0.081437,0.173525,0.117742
"Measles","campaign","JAM",-0.09504,-0.215207,0.104548,-0.111256
"Measles","routine","JAM",3.380568,2.505049,4.098887,3.404287
"PCV","routine","JAM",0.080909,0.055511,0.113133,0.078519
"Rota","routine","JAM",0.039514,0.030962,0.058815,0.038809
"Rubella","campaign","JAM",0.299274,-0.127153,0.761174,0.298027
"Rubella","routine","JAM",0.13613,0.011417,0.344115,0.11959
