"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","JOR",22.944325,7.627822,49.282706,19.958261
"COVID-19","routine","JOR",0.010813,-15.912965,11.008324,0.269711
"HPV","campaign","JOR",74.081063,58.184015,91.296772,73.847318
"HPV","routine","JOR",68.958701,53.98176,84.582004,68.605881
"HepB","routine","JOR",61.353134,45.123961,104.45555,56.998218
"Hib","routine","JOR",30.986518,22.701071,41.759175,30.452376
"Measles","campaign","JOR",21.759404,1.952847,50.182409,20.753061
"Measles","routine","JOR",414.540575,321.692424,498.433361,414.539423
"PCV","routine","JOR",13.618956,-63.592035,76.25982,11.734186
"Rota","routine","JOR",8.983407,-0.690062,20.022021,8.743099
"Rubella","campaign","JOR",9.450639,2.662577,17.190272,9.495232
"Rubella","routine","JOR",18.512273,13.309245,24.074202,18.552944
