"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","KEN",2.523632,0.335655,5.3927,2.129817
"COVID-19","routine","KEN",0.200077,-1.933621,2.035723,0.231105
"HPV","campaign","KEN",480.130003,403.434207,572.382264,478.362344
"HPV","routine","KEN",582.254962,494.087967,692.12492,580.15533
"HepB","routine","KEN",153.925192,127.092306,183.622826,153.345396
"Hib","routine","KEN",100.019288,72.508332,135.712073,98.669503
"Measles","campaign","KEN",20.158388,4.595038,40.334109,19.129437
"Measles","routine","KEN",437.158294,343.610071,531.021357,434.905087
"MenA","campaign","KEN",23.72415,4.715809,34.629571,24.132846
"MenA","routine","KEN",135.374468,59.381842,207.910159,138.930314
"MenACWYX","campaign","KEN",57.554751,24.747596,90.771307,57.141277
"MenACWYX","routine","KEN",36.50326,21.113435,54.125044,36.925726
"PCV","routine","KEN",57.033521,12.000372,109.63514,57.300597
"Rota","routine","KEN",57.379219,26.106847,87.368852,57.356686
"Rubella","campaign","KEN",25.195758,-2.190137,92.623756,16.310275
"Rubella","routine","KEN",15.994711,4.060984,27.602245,15.312795
"Typhoid","campaign","KEN",41.001295,6.989506,138.906662,27.191313
"Typhoid","routine","KEN",88.902091,6.382812,445.66856,44.216385
"YF","routine","KEN",150.235918,38.416622,361.625833,130.147216
