"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","KEN",1.815787,0.382796,3.675854,1.60049
"HPV","KEN",570.532289,484.203778,678.419507,568.57098
"HepB","KEN",153.925192,127.092306,183.622826,153.345396
"Hib","KEN",100.019288,72.508332,135.712073,98.669503
"Measles","KEN",201.244392,152.126468,246.145725,201.111613
"Meningitis","KEN",39.85838,27.569664,51.965546,39.457811
"PCV","KEN",57.033521,12.000372,109.63514,57.300597
"Rota","KEN",57.379219,26.106847,87.368852,57.356686
"Rubella","KEN",21.514658,3.742278,60.921291,16.99518
"Typhoid","KEN",51.688315,7.283321,198.552194,32.301081
"YF","KEN",150.235918,38.416622,361.625833,130.147216
