"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","KGZ",2.727369,0.204414,4.463164,2.751609
"COVID-19","routine","KGZ",1.792562,-0.091069,3.755476,1.761471
"HPV","campaign","KGZ",179.337599,152.181069,211.219195,178.45554
"HPV","routine","KGZ",197.459303,167.109078,233.168808,197.482915
"HepB","routine","KGZ",87.096902,73.222167,104.066562,86.525526
"Hib","routine","KGZ",97.883451,62.909752,130.880703,96.699705
"Measles","campaign","KGZ",1.446713,-2.363042,7.398535,0.947001
"Measles","routine","KGZ",166.548558,125.809378,202.725465,167.071586
"PCV","routine","KGZ",82.371115,24.589201,159.625478,81.626813
"Rota","routine","KGZ",11.954846,-20.238181,47.457486,10.933729
"Rubella","campaign","KGZ",14.371879,3.019783,35.887353,13.316853
"Rubella","routine","KGZ",23.060589,10.025967,37.360079,23.186869
