"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","KHM",9.575236,4.339132,19.083656,8.018974
"COVID-19","routine","KHM",0.961996,0.50309,1.488926,0.970202
"HPV","campaign","KHM",1180.244375,1034.737061,1316.030722,1176.695625
"HPV","routine","KHM",1085.367227,947.195513,1211.803477,1085.437867
"HepB","routine","KHM",195.694535,160.65095,237.154063,194.894228
"Hib","routine","KHM",165.956687,95.586492,242.483412,167.658992
"JE","campaign","KHM",3.367086,0.603106,9.788433,2.64204
"JE","routine","KHM",106.123228,72.789036,141.278297,104.769943
"Measles","campaign","KHM",53.216941,32.32048,75.207407,52.54248
"Measles","routine","KHM",665.949499,526.467436,810.384731,663.548083
"PCV","routine","KHM",110.50771,-1.061341,236.991297,121.358956
"Rota","routine","KHM",21.729069,-84.142996,143.317059,20.047361
"Rubella","campaign","KHM",16.069806,2.927113,31.28665,15.714985
"Rubella","routine","KHM",8.877465,5.122111,13.352792,8.700829
"Typhoid","campaign","KHM",10.236404,2.066825,52.363105,6.055873
"Typhoid","routine","KHM",25.65864,0.061836,161.165187,10.337629
