"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","KHM",5.958885,2.875909,11.584297,5.053947
"HPV","KHM",1136.345465,995.911456,1265.720505,1133.730231
"HepB","KHM",195.694535,160.65095,237.154063,194.894228
"Hib","KHM",165.956687,95.586492,242.483412,167.658992
"JE","KHM",93.990742,64.607413,125.295884,92.941043
"Measles","KHM",293.876519,227.935703,355.669887,293.803623
"PCV","KHM",110.50771,-1.061341,236.991297,121.358956
"Rota","KHM",21.729069,-84.142996,143.317059,20.047361
"Rubella","KHM",12.612363,4.910822,22.280757,12.279129
"Typhoid","KHM",13.250253,1.994785,60.918245,7.095886
