"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","KHM",0.292759,0.121378,0.562462,0.253453
"COVID-19","routine","KHM",0.023834,-0.005662,0.046501,0.020494
"HPV","campaign","KHM",19.121443,16.564698,21.99751,19.069862
"HPV","routine","KHM",17.652162,15.261114,20.322135,17.604879
"HepB","routine","KHM",7.118393,5.862703,8.591787,7.103358
"Hib","routine","KHM",2.304193,1.278518,3.415618,2.327356
"JE","campaign","KHM",0.042937,0.006461,0.138912,0.032305
"JE","routine","KHM",0.177792,0.086229,0.35501,0.158831
"Measles","campaign","KHM",0.762891,0.45715,1.082601,0.755197
"Measles","routine","KHM",9.553868,7.584046,11.650277,9.511272
"PCV","routine","KHM",1.525262,-0.10627,3.354145,1.682707
"Rota","routine","KHM",0.310289,-1.262799,2.104994,0.285725
"Rubella","campaign","KHM",0.19527,0.018396,0.457193,0.176083
"Rubella","routine","KHM",0.160757,0.074503,0.264087,0.158021
"Typhoid","campaign","KHM",0.236107,0.061859,0.850442,0.171265
"Typhoid","routine","KHM",0.514926,-0.188368,3.115518,0.204972
