"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","KIR",0.064341,-0.554207,0.907956,0
"COVID-19","routine","KIR",0.694328,-0.019936,1.50788,0.687779
"HPV","campaign","KIR",347.820639,288.44122,411.711506,348.036164
"HPV","routine","KIR",329.600206,271.620029,391.821578,329.659432
"HepB","routine","KIR",197.868534,147.117546,291.783868,191.66666
"Hib","routine","KIR",173.384601,126.975832,230.649315,172.291748
"Measles","campaign","KIR",46.250176,19.552171,70.233761,49.928187
"Measles","routine","KIR",544.680496,459.872382,630.591034,550.428244
"PCV","routine","KIR",97.189325,32.574617,165.061874,97.231832
"Rota","routine","KIR",41.468914,2.995708,75.546353,39.876247
"Rubella","campaign","KIR",45.181411,-17.572377,117.675025,43.387359
"Rubella","routine","KIR",2.538203,-0.000576,12.934974,0.040964
"Typhoid","campaign","KIR",26.072161,2.174068,82.593158,21.254067
"Typhoid","routine","KIR",22.721163,1.453504,96.785055,14.763385
