"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","LAO",0.27941,0.110303,0.530909,0.256342
"COVID-19","routine","LAO",0.010374,-0.042511,0.05971,0.012007
"HPV","campaign","LAO",7.516848,6.087667,9.382744,7.467843
"HPV","routine","LAO",6.806294,5.162976,9.080628,6.716706
"HepB","routine","LAO",6.238522,5.089925,7.475397,6.196317
"Hib","routine","LAO",3.929592,2.401329,6.100548,3.867743
"JE","routine","LAO",0.212694,0.067871,0.455134,0.192091
"Measles","campaign","LAO",0.94428,0.450102,1.541816,0.901782
"Measles","routine","LAO",16.632676,13.213019,20.132723,16.669615
"PCV","routine","LAO",2.870627,0.68447,5.289707,2.995432
"Rota","routine","LAO",1.022669,-4.408874,6.538188,1.044228
"Rubella","campaign","LAO",0.068265,0.001092,0.216282,0.05287
"Rubella","routine","LAO",0.100748,0.040227,0.164424,0.099769
"Typhoid","campaign","LAO",0.266129,0.059747,0.768183,0.202269
"Typhoid","routine","LAO",0.614529,-0.27202,4.00098,0.240938
