"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LAO",0.181718,0.08105,0.349321,0.162023
"HPV","LAO",6.989206,5.41862,9.13786,6.918428
"HepB","LAO",6.238522,5.089925,7.475397,6.196317
"Hib","LAO",3.929592,2.401329,6.100548,3.867743
"JE","LAO",0.212694,0.067871,0.455134,0.192091
"Measles","LAO",6.013658,4.666979,7.178248,6.027513
"PCV","LAO",2.870627,0.68447,5.289707,2.995432
"Rota","LAO",1.022669,-4.408874,6.538188,1.044228
"Rubella","LAO",0.079392,0.026293,0.188304,0.070419
"Typhoid","LAO",0.342137,0.044297,1.317431,0.225337
