"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","LBR",0.823738,-0.430064,2.006922,0.784584
"COVID-19","routine","LBR",0.003822,-3.017105,1.983212,-0.015407
"HPV","routine","LBR",530.493003,365.820253,786.70324,513.623492
"HepB","routine","LBR",242.005665,178.968446,322.352494,239.276845
"Hib","routine","LBR",283.713748,146.398581,432.153318,278.372018
"Measles","campaign","LBR",172.92002,119.029483,225.830281,173.118003
"Measles","routine","LBR",1889.194358,1603.586538,2180.821288,1902.084489
"PCV","routine","LBR",186.844585,-57.538378,395.434867,178.967106
"Rota","routine","LBR",75.391161,-43.730013,171.44787,69.889502
"Rubella","campaign","LBR",14.026838,-8.031933,87.763381,3.191229
"Rubella","routine","LBR",81.264436,14.304474,160.237644,79.612431
"Typhoid","campaign","LBR",117.479191,15.151717,433.86991,69.163876
"Typhoid","routine","LBR",111.046659,8.988118,672.164025,50.685104
"YF","campaign","LBR",36.869904,10.975273,92.733607,31.942049
"YF","routine","LBR",218.381336,63.722436,487.868314,202.381559
