"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","LKA",9.536884,4.927446,22.555292,7.897395
"COVID-19","routine","LKA",1.254006,0.678483,1.83551,1.274547
"HPV","campaign","LKA",390.271977,306.797789,498.443881,386.319362
"HPV","routine","LKA",240.263294,200.091667,297.635288,237.282001
"HepB","routine","LKA",175.990283,140.206691,218.499788,175.414765
"Hib","routine","LKA",16.539358,9.449362,25.427236,16.514903
"JE","routine","LKA",101.681655,69.790604,135.251682,101.237508
"Measles","campaign","LKA",2.158065,0.473321,5.03635,2.008299
"Measles","routine","LKA",161.867736,119.418812,204.992919,160.950434
"PCV","routine","LKA",12.992177,-30.288513,46.960577,13.247555
"Rota","routine","LKA",2.555544,-8.335943,13.607137,2.735139
"Rubella","campaign","LKA",16.45576,1.88011,37.559401,15.266548
"Rubella","routine","LKA",13.407576,2.343654,29.506912,11.858899
"Typhoid","campaign","LKA",3.928174,0.452143,19.270811,2.176528
"Typhoid","routine","LKA",10.003736,0.471231,69.041953,3.071423
