"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","LKA",6.133052,3.496498,13.719061,5.201011
"HPV","LKA",256.717521,211.925534,320.50257,253.700887
"HepB","LKA",175.990283,140.206691,218.499788,175.414765
"Hib","LKA",16.539358,9.449362,25.427236,16.514903
"JE","LKA",101.681655,69.790604,135.251682,101.237508
"Measles","LKA",139.285368,102.59537,176.388884,138.520051
"PCV","LKA",12.992177,-30.288513,46.960577,13.247555
"Rota","LKA",2.555544,-8.335943,13.607137,2.735139
"Rubella","LKA",13.747989,2.293809,30.4517,12.278377
"Typhoid","LKA",4.920968,0.493045,28.571188,2.358508
