"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","LKA",0.359964,0.160835,0.84977,0.321363
"COVID-19","routine","LKA",0.039243,0.006703,0.067028,0.039467
"HPV","campaign","LKA",7.379627,6.197586,8.935681,7.324551
"HPV","routine","LKA",5.115595,4.509936,5.904514,5.08271
"HepB","routine","LKA",5.60006,4.461958,6.972909,5.576811
"Hib","routine","LKA",0.194407,0.103822,0.310556,0.193927
"JE","routine","LKA",0.132116,0.054034,0.256828,0.120943
"Measles","campaign","LKA",-0.011094,-0.034111,0.030639,-0.01268
"Measles","routine","LKA",2.16323,1.597206,2.739626,2.148729
"PCV","routine","LKA",0.152265,-0.410281,0.595757,0.156306
"Rota","routine","LKA",0.028254,-0.114195,0.175481,0.030712
"Rubella","campaign","LKA",0.204895,0.032009,0.528802,0.186972
"Rubella","routine","LKA",0.182921,0.047177,0.41839,0.166681
"Typhoid","campaign","LKA",0.089625,0.009,0.31608,0.066413
"Typhoid","routine","LKA",0.193893,0.002907,1.502152,0.063427
