"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","LSO",1.500732,0.688824,3.245505,1.284234
"COVID-19","routine","LSO",1.906594,1.004457,2.769209,1.970795
"HPV","campaign","LSO",1274.009494,1065.5762,1563.345189,1262.551194
"HPV","routine","LSO",1086.069748,891.569298,1316.3923,1078.382397
"HepB","routine","LSO",106.56254,86.676036,129.249965,105.95235
"Hib","routine","LSO",103.294914,73.925756,135.91559,102.419433
"Measles","campaign","LSO",11.132276,5.619411,18.37177,10.79641
"Measles","routine","LSO",318.939326,254.20003,384.647496,317.394112
"PCV","routine","LSO",56.981383,4.628534,106.388006,57.690098
"Rota","routine","LSO",34.549951,10.516238,68.042555,34.296899
"Rubella","campaign","LSO",-4.491064,-52.126198,64.188461,-7.465297
"Rubella","routine","LSO",25.247764,5.685793,45.108549,24.983281
