"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MAR",0.176362,0.055163,0.49483,0.155158
"COVID-19","routine","MAR",0.02455,0.006904,0.041111,0.024284
"HPV","campaign","MAR",19.493728,15.933847,23.003002,19.474586
"HPV","routine","MAR",17.284347,14.23049,20.548777,17.234557
"HepB","routine","MAR",3.021104,2.491761,3.589288,3.017382
"Hib","routine","MAR",1.275954,0.907856,1.76028,1.279162
"Measles","campaign","MAR",0.50221,0.016454,1.134876,0.43216
"Measles","routine","MAR",15.44664,11.871507,18.972372,15.365554
"PCV","routine","MAR",0.926421,0.220148,1.621645,0.951883
"Rota","routine","MAR",0.372589,0.119433,0.565258,0.369042
"Rubella","campaign","MAR",0.098823,0.006913,0.241659,0.084964
"Rubella","routine","MAR",0.214265,0.053495,0.402759,0.201849
"Typhoid","campaign","MAR",0.084352,0.034512,0.176149,0.077858
"Typhoid","routine","MAR",0.10739,0.012089,0.778974,0.042722
