"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MDA",0.122959,0.039884,0.266321,0.111932
"COVID-19","routine","MDA",0.038845,-0.016914,0.115127,0.037103
"HPV","campaign","MDA",5.139887,4.162244,6.3552,5.090964
"HPV","routine","MDA",5.809852,4.937366,6.755442,5.784608
"HepB","routine","MDA",3.537673,2.700592,4.736997,3.427844
"Hib","routine","MDA",0.270909,0.157004,0.409224,0.267452
"Measles","campaign","MDA",0.003981,-0.071442,0.087798,0.002638
"Measles","routine","MDA",1.925182,1.453176,2.341301,1.928718
"PCV","routine","MDA",0.230555,-0.026151,0.429689,0.247099
"Rota","routine","MDA",0.024844,-0.009419,0.069366,0.022242
"Rubella","campaign","MDA",0.034856,-0.389019,0.552949,0.025704
"Rubella","routine","MDA",0.23756,0.034109,0.567322,0.209948
