"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MDG",2.95015,-5.671158,9.52882,3.076383
"COVID-19","routine","MDG",0.775097,-3.899825,7.240541,0.845566
"HPV","campaign","MDG",1755.301853,1463.843135,2032.033231,1758.646398
"HPV","routine","MDG",1635.751098,1363.842395,1903.615564,1638.456761
"HepB","routine","MDG",142.386158,116.008051,170.23671,141.884706
"Hib","routine","MDG",206.813045,120.104315,300.711614,210.145296
"Measles","campaign","MDG",93.06852,53.700056,119.315951,94.572201
"Measles","routine","MDG",888.498164,749.758384,1040.139029,894.748882
"PCV","routine","MDG",139.772117,-10.398714,282.80242,144.90255
"Rota","routine","MDG",121.601749,58.572573,181.771131,121.346398
"Rubella","campaign","MDG",1.871493,-7.749461,31.490441,-2.296227
"Rubella","routine","MDG",42.49554,15.151093,70.493569,42.408156
"Typhoid","campaign","MDG",76.278031,7.135374,418.594676,37.11808
"Typhoid","routine","MDG",125.301628,5.021004,767.329418,45.178262
