"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MHL",0,0,0,0
"COVID-19","routine","MHL",0,0,0,0
"HPV","routine","MHL",407.173366,334.936098,485.049211,405.434244
"HepB","routine","MHL",107.369669,81.605888,137.204924,106.793743
"Hib","routine","MHL",80.388286,62.142813,102.886879,79.405018
"Measles","campaign","MHL",133.933706,39.956644,192.120815,139.928589
"Measles","routine","MHL",813.088092,660.757633,959.668662,818.788289
"PCV","routine","MHL",36.123964,12.218692,62.094536,35.178778
"Rota","routine","MHL",14.047334,6.109643,25.706643,13.094092
"Rubella","campaign","MHL",31.515304,-48.740345,113.687488,29.727014
"Rubella","routine","MHL",4.544885,0,16.641528,3.619873
