"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MKD",24.550309,7.606169,44.282517,25.265316
"COVID-19","routine","MKD",0.054736,-5.681849,3.89229,0.233863
"HPV","routine","MKD",1616.430564,1368.761497,1868.253143,1620.484168
"HepB","routine","MKD",73.408106,59.971319,89.434034,73.345764
"Hib","routine","MKD",10.017764,5.154832,15.215315,10.022747
"Measles","campaign","MKD",23.472539,5.874111,45.124902,22.663405
"Measles","routine","MKD",249.283466,191.948632,303.936497,249.139368
"PCV","routine","MKD",5.572881,-23.879204,36.70658,4.684557
"Rota","routine","MKD",5.689143,-11.002506,22.517972,6.455763
"Rubella","campaign","MKD",-2.257052,-34.836645,28.090633,-0.85628
"Rubella","routine","MKD",11.055978,1.167053,22.489959,10.746102
