"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MLI",1.794338,-1.095098,5.136299,1.67174
"COVID-19","routine","MLI",4.673154,-2.885842,10.52573,4.760523
"HPV","campaign","MLI",341.296475,289.845163,397.410336,341.017548
"HPV","routine","MLI",354.147397,301.248502,415.037486,353.876249
"HepB","routine","MLI",227.740575,181.003616,294.287404,223.236456
"Hib","routine","MLI",376.306455,215.56851,598.360783,372.488935
"Measles","campaign","MLI",206.821686,106.741472,278.163466,211.975963
"Measles","routine","MLI",2419.047902,2053.842276,2843.85735,2431.977977
"MenA","campaign","MLI",53.435159,33.205041,70.288005,53.440586
"MenA","routine","MLI",18.796802,9.13607,28.108486,19.03954
"MenACWYX","campaign","MLI",54.962228,12.836261,109.060318,53.030013
"MenACWYX","routine","MLI",41.486674,16.33387,59.636286,43.210638
"PCV","routine","MLI",261.400339,-5.312582,563.925884,265.657571
"Rota","routine","MLI",62.513583,-23.473564,155.932676,66.814496
"Rubella","campaign","MLI",10.230053,-15.061283,119.898733,-3.909294
"Rubella","routine","MLI",67.018651,12.141851,130.324848,65.665588
"Typhoid","campaign","MLI",42.766593,7.101041,227.532606,24.309714
"Typhoid","routine","MLI",77.796192,6.004143,555.113704,26.291952
"YF","campaign","MLI",26.082588,8.436181,55.834061,23.8862
"YF","routine","MLI",102.14353,30.719191,223.665329,93.786902
